"textoSplit","Freq"
"hoy",4
"manifiesto",4
"médicos",4
"mi",4
"momentos",4
"muchos",4
"nuestra",4
"nuestro",4
"pendientes",4
"poco",4
"poner",4
"precios",4
"preguntas",4
"quedaron",4
"queremos",4
"quiere",4
"recomendaciones",4
"relación",4
"relaciones",4
"respeto",4
"salud",4
"seguridad",4
"situación",4
"suficiente",4
"todas",4
"todavía",4
"trabajo",4
"transitoria",4
"viendo",4
"votaron",4
"acuerdo",5
"alcohol",5
"apoyo",5
"buena",5
"confianza",5
"contra",5
"cosas",5
"dando",5
"digo",5
"dónde",5
"estaba",5
"información",5
"iva",5
"mañana",5
"mejor",5
"menos",5
"mucha",5
"número",5
"otra",5
"parte",5
"petróleo",5
"poder",5
"primero",5
"prioridad",5
"productores",5
"propósito",5
"público",5
"puede",5
"quién",5
"repito",5
"sé",5
"sector",5
"sigamos",5
"sobre",5
"tiempo",5
"tiempos",5
"toda",5
"trabajando",5
"usar",5
"ustedes",5
"ventiladores",5
"vez",5
"adelante",6
"además",6
"atención",6
"coronavirus",6
"ellos",6
"epidemia",6
"especialistas",6
"estoy",6
"familia",6
"han",6
"hasta",6
"haya",6
"mayoría",6
"migrantes",6
"ojalá",6
"planta",6
"posible",6
"presidente",6
"proceso",6
"pronto",6
"reactivación",6
"sólo",6
"sus",6
"ver",6
"actitud",7
"camas",7
"cuando",7
"ir",7
"llamado",7
"nuestras",7
"plan",7
"política",7
"qué",7
"tener",7
"ahí",8
"bien",8
"bueno",8
"caso",8
"ese",8
"este",8
"importante",8
"mal",8
"manera",8
"mismo",8
"puedo",8
"sea",8
"ser",8
"sin",8
"trabajadores",8
"transformación",8
"ayer",9
"económica",9
"ejemplo",9
"esas",9
"esta",9
"estar",9
"haciendo",9
"mil",9
"pues",9
"quiero",9
"salir",9
"seguir",9
"tengo",9
"tiene",9
"unidad",9
"antes",10
"desde",10
"hace",10
"hospital",10
"luego",10
"nada",10
"nosotros",10
"otros",10
"crisis",11
"dar",11
"esa",11
"ha",11
"país",11
"gente",13
"le",13
"su",13
"voy",13
"corrupción",14
"hacer",14
"hospitales",14
"ahora",15
"así",15
"cómo",15
"decir",15
"me",15
"mucho",15
"todos",15
"sí",16
"también",16
"todo",16
"yo",16
"entonces",18
"siempre",18
"unidos",18
"estados",19
"tenemos",19
"son",20
"gobierno",21
"van",22
"esto",23
"o",23
"estamos",24
"les",25
"muy",27
"como",29
"están",29
"está",30
"más",30
"nos",30
"si",31
"va",32
"ya",32
"vamos",35
"hay",36
"méxico",36
"las",37
"una",37
"",38
"eso",38
"por",39
"al",41
"pero",43
"pueblo",43
"porque",47
"con",54
"un",57
"del",60
"para",62
"lo",101
"es",106
"los",117
"en",133
"se",138
"el",144
"no",145
"y",164
"la",195
"a",226
"que",247
"de",283
